complaint_id,category,ward_name,latitude,longitude,complaint_date,resolved_date,status,description
CMP-001,pothole,Jayanagar,12.937350712295169,77.58012603548244,2024-05-05 07:08:00,2024-05-11 03:13:00,Resolved,Huge crater in the middle of the street
CMP-002,pothole,Koramangala,12.93761532807151,77.64994544784612,2024-02-17 06:14:00,2024-02-28 12:59:00,Resolved,Large pothole near main road causing traffic issues
CMP-003,drainage,Whitefield,12.96628769937915,77.74638794564576,2024-04-22 14:37:00,2024-04-23 12:21:00,Resolved,Manhole cover broken by heavy truck
CMP-004,streetlight,Rajajinagar,13.02188819223261,77.56451152093729,2024-04-20 10:06:00,2024-04-27 03:44:00,Resolved,Streetlight pole damaged after accident
CMP-005,pothole,Malleshwaram,12.996057884210975,77.5724384006538,2024-10-01 03:59:00,2024-10-07 21:38:00,Resolved,Pothole needs urgent filling before monsoon
CMP-006,streetlight,Electronic City,12.85,77.65311405369644,2024-04-08 22:04:00,2024-04-15 01:09:00,Resolved,Timer for streetlights not functioning
CMP-007,pothole,Jayanagar,12.93352943407349,77.55350079633013,2024-05-22 14:40:00,,Open,Road surface broken completely
CMP-008,garbage,BTM Layout,12.902026232512304,77.61866568706138,2024-12-25 21:41:00,2024-12-26 16:27:00,Resolved,Dry and wet waste mixed by collectors
CMP-009,water_leakage,Whitefield,12.954607533194983,77.75,2024-05-18 20:44:00,2024-05-19 00:58:00,Resolved,Water meter leaking continuously
CMP-010,streetlight,Rajajinagar,12.984579638867183,77.53181544447997,2024-05-17 02:13:00,,Open,Exposed wires near streetlight base
CMP-011,streetlight,Malleshwaram,13.025084731533823,77.5609133554927,2024-12-01 15:25:00,,Open,Entire street is dark due to faulty lights
CMP-012,garbage,Electronic City,12.85,77.6387287772068,2024-03-12 07:47:00,2024-03-14 22:14:00,Resolved,Dry and wet waste mixed by collectors
CMP-013,water_leakage,Jayanagar,12.921734259132123,77.58386383884564,2024-04-22 04:32:00,2024-04-22 12:41:00,Resolved,Valve broken at the junction
CMP-014,water_leakage,Koramangala,12.910635096338664,77.63273547027518,2024-02-02 12:24:00,2024-02-03 05:59:00,Resolved,Illegal water connection causing drop in pressure
CMP-015,pothole,Whitefield,12.960790419651218,77.7455245937531,2024-12-15 17:48:00,2024-12-16 23:06:00,Resolved,Deep pothole on the service road
CMP-016,water_leakage,Rajajinagar,12.989174400816559,77.58078417276764,2024-05-14 16:48:00,2024-05-16 10:07:00,Resolved,"Main pipe burst, water flowing on road"
CMP-017,drainage,Malleshwaram,13.002897541628931,77.54843433606567,2024-04-11 04:23:00,2024-04-14 01:21:00,Resolved,Drainage pipes choked and backing up
CMP-018,water_leakage,BTM Layout,12.857538173681547,77.64178734525044,2024-02-27 11:56:00,,Open,"Main pipe burst, water flowing on road"
CMP-019,garbage,Jayanagar,12.933032953925071,77.5528049481418,2024-05-03 18:05:00,2024-05-03 21:53:00,Resolved,Overflowing garbage bin at junction
CMP-020,garbage,Koramangala,12.907977209266523,77.63005291853804,2024-12-03 15:35:00,2024-12-04 12:02:00,Resolved,Garbage not collected for 3 days
CMP-021,drainage,Whitefield,12.98087699869993,77.75,2024-12-31 09:25:00,,Open,Foul smell from blocked underground drain
CMP-022,water_leakage,Rajajinagar,12.996465275764177,77.54848344456616,2024-08-19 03:15:00,2024-08-24 07:50:00,Resolved,Yellowish water coming from taps
CMP-023,garbage,Malleshwaram,12.980922170144488,77.55350233687408,2024-02-06 22:40:00,2024-02-08 02:35:00,Resolved,Overflowing garbage bin at junction
CMP-024,drainage,Electronic City,12.85,77.67595683339329,2024-05-22 21:31:00,2024-06-02 01:07:00,Resolved,Foul smell from blocked underground drain
CMP-025,water_leakage,Jayanagar,12.935054274343527,77.55575439766956,2024-04-07 03:06:00,2024-04-08 06:35:00,Resolved,Water meter leaking continuously
CMP-026,pothole,Koramangala,12.932761259540921,77.62132376579375,2024-02-01 12:46:00,2024-02-04 04:58:00,Resolved,Deep pothole on the service road
CMP-027,garbage,Yelahanka,12.959646169995409,77.75,2024-04-03 08:29:00,2024-04-04 00:20:00,Resolved,Garbage burning causing heavy smoke
CMP-028,drainage,Rajajinagar,13.01366499283744,77.56696920178673,2024-01-26 20:34:00,,Open,Blocked drain causing waterlogging
CMP-029,garbage,Malleshwaram,12.99051173715166,77.55966181436223,2024-07-27 15:30:00,2024-07-27 17:40:00,Resolved,Garbage not collected for 3 days
CMP-030,water_leakage,Electronic City,12.850168951471053,77.67473317690684,2024-08-20 09:27:00,2024-08-21 22:09:00,Resolved,Low pressure in water supply
CMP-031,garbage,Jayanagar,12.922712386432321,77.57941511535005,2024-05-31 06:03:00,2024-06-01 06:23:00,Resolved,Foul smell from uncollected waste
CMP-032,drainage,Yelahanka,12.911304975389909,77.6091569006388,2024-03-21 01:32:00,2024-03-31 10:36:00,Resolved,Illegal sewage discharge into storm water drain
CMP-033,garbage,Whitefield,12.981987887335912,77.75,2024-03-02 18:15:00,2024-03-04 00:41:00,Resolved,Garbage burning causing heavy smoke
CMP-034,drainage,Rajajinagar,12.997119848176295,77.56805299346838,2024-06-10 08:13:00,2024-06-17 04:38:00,Resolved,Illegal sewage discharge into storm water drain
CMP-035,water_leakage,BTM Layout,13.008524540375715,77.55462320368093,2024-02-07 00:29:00,2024-02-07 07:33:00,Resolved,Valve broken at the junction
CMP-036,drainage,Electronic City,12.850620934082626,77.68317054849699,2024-03-08 11:56:00,2024-03-15 13:06:00,Resolved,Rainwater drain clogged with plastic
CMP-037,drainage,Jayanagar,12.929362609413351,77.60566965483721,2024-11-09 20:33:00,2024-11-11 12:32:00,Resolved,Rainwater drain clogged with plastic
CMP-038,garbage,Koramangala,12.888603823438654,77.63942853756562,2024-02-29 03:47:00,2024-03-02 19:00:00,Resolved,Dry and wet waste mixed by collectors
CMP-039,garbage,Whitefield,12.971105706023572,77.745414889743,2024-09-15 15:16:00,,Open,Dry and wet waste mixed by collectors
CMP-040,pothole,Rajajinagar,12.999576411648032,77.52318646628099,2024-05-21 01:00:00,2024-06-02 16:10:00,Resolved,Road surface broken completely
CMP-041,drainage,Malleshwaram,12.999804921682438,77.56965668857268,2024-10-14 00:07:00,2024-10-14 20:41:00,Resolved,Manhole cover broken by heavy truck
CMP-042,drainage,BTM Layout,12.867368410671123,77.6523259467259,2024-03-16 13:08:00,2024-03-16 20:05:00,Resolved,Illegal sewage discharge into storm water drain
CMP-043,garbage,Jayanagar,12.917772595956603,77.57467364434623,2024-06-30 17:56:00,,Open,Trash dumped illegally on vacant plot
CMP-044,garbage,Koramangala,12.94163103176553,77.63203126664489,2024-03-24 05:56:00,2024-03-26 04:46:00,Resolved,Foul smell from uncollected waste
CMP-045,garbage,Whitefield,12.961853596943493,77.75,2024-03-22 22:06:00,2024-03-25 05:20:00,Resolved,Dry and wet waste mixed by collectors
CMP-046,streetlight,Yelahanka,12.999656163240221,77.567529674858,2024-04-26 07:01:00,2024-04-27 19:56:00,Resolved,Streetlights remain ON during daytime
CMP-047,streetlight,BTM Layout,12.99256920359184,77.55938506780103,2024-07-23 21:53:00,2024-07-24 13:49:00,Resolved,Trees blocking the streetlight illumination
CMP-048,garbage,Electronic City,12.85,77.63814727577802,2024-05-15 01:06:00,2024-05-16 22:33:00,Resolved,Garbage truck spilling waste on road
CMP-049,drainage,Jayanagar,12.934341804155968,77.5861158290827,2024-07-16 18:12:00,2024-07-16 19:45:00,Resolved,Blocked drain causing waterlogging
CMP-050,drainage,Koramangala,12.927976701849635,77.62358119299937,2024-07-05 13:04:00,,Open,Foul smell from blocked underground drain
CMP-051,drainage,Whitefield,12.948569438869242,77.74359032015852,2024-12-05 03:46:00,,Open,Sewage water entering residential compound
CMP-052,water_leakage,Rajajinagar,12.9930592822521,77.54096584096168,2024-07-25 22:18:00,2024-07-31 12:42:00,Resolved,Valve broken at the junction
CMP-053,garbage,Malleshwaram,13.000680714325009,77.57036076285222,2024-10-18 09:25:00,2024-10-20 04:38:00,Resolved,Garbage truck spilling waste on road
CMP-054,drainage,Electronic City,12.873492788518158,77.66271866719248,2024-12-01 10:29:00,2024-12-04 04:59:00,Resolved,Drainage pipes choked and backing up
CMP-055,garbage,Jayanagar,12.93376325586084,77.58108331126351,2024-05-25 16:42:00,2024-05-27 09:25:00,Resolved,Trash dumped illegally on vacant plot
CMP-056,garbage,Koramangala,12.899118431770514,77.62670229186826,2024-01-13 01:15:00,,Open,Garbage not collected for 3 days
CMP-057,pothole,Whitefield,12.970703453149115,77.75,2024-07-31 20:36:00,2024-08-06 04:01:00,Resolved,Pothole needs urgent filling before monsoon
CMP-058,pothole,Rajajinagar,12.995314585528284,77.557523210135,2024-08-05 07:11:00,,Open,Deep pothole on the service road
CMP-059,water_leakage,Malleshwaram,13.002579323454421,77.5467698294357,2024-10-12 07:58:00,,Open,"Main pipe burst, water flowing on road"
CMP-060,water_leakage,Electronic City,12.862342342217726,77.6713789954903,2024-10-13 19:20:00,,Open,Yellowish water coming from taps
CMP-061,drainage,Jayanagar,12.941765479205646,77.56855918817809,2024-08-06 17:28:00,,Open,Illegal sewage discharge into storm water drain
CMP-062,water_leakage,Koramangala,12.94894191466404,77.60607223405812,2024-05-12 07:53:00,2024-05-13 18:24:00,Resolved,Sump overflowing onto the street
CMP-063,streetlight,Whitefield,12.978602856407003,77.75,2024-02-09 22:18:00,2024-02-18 17:23:00,Resolved,LED bulb fused needs replacement
CMP-064,water_leakage,HSR Layout,12.98334195512304,77.54450553405596,2024-12-27 06:04:00,2024-12-31 18:30:00,Resolved,Drinking water contaminated with sewage
CMP-065,water_leakage,Yelahanka,13.004594770476315,77.55674786518826,2024-12-22 00:54:00,,Open,Illegal water connection causing drop in pressure
CMP-066,water_leakage,Electronic City,12.85,77.6611284446221,2024-06-29 09:48:00,2024-06-30 13:22:00,Resolved,"Main pipe burst, water flowing on road"
CMP-067,drainage,Jayanagar,12.913965444294108,77.58930388645953,2024-04-22 15:14:00,2024-04-24 17:35:00,Resolved,Drainage pipes choked and backing up
CMP-068,water_leakage,Koramangala,12.914108636486493,77.65034901607527,2024-08-27 04:39:00,2024-08-28 19:15:00,Resolved,Drinking water contaminated with sewage
CMP-069,pothole,Whitefield,12.958051200614955,77.74506907725691,2024-03-10 14:11:00,2024-03-12 21:40:00,Resolved,Road surface broken completely
CMP-070,water_leakage,Rajajinagar,13.010402758260545,77.53453703525349,2024-08-03 08:53:00,2024-08-08 06:56:00,Resolved,Low pressure in water supply
CMP-071,streetlight,Malleshwaram,13.006511899019062,77.58390714131424,2024-11-28 02:49:00,,Open,Entire street is dark due to faulty lights
CMP-072,garbage,Indiranagar,12.85,77.66286950787799,2024-01-11 19:09:00,2024-01-11 23:45:00,Resolved,Foul smell from uncollected waste
CMP-073,water_leakage,Jayanagar,12.933798241913726,77.59392734307666,2024-07-07 05:38:00,2024-07-07 14:27:00,Resolved,Low pressure in water supply
CMP-074,streetlight,Koramangala,12.909345739336828,77.60729315080374,2024-10-23 00:59:00,2024-10-25 02:24:00,Resolved,Flickering streetlight causing disturbance
CMP-075,garbage,Whitefield,12.977629123484252,77.75,2024-10-30 22:53:00,2024-11-01 19:47:00,Resolved,Trash dumped illegally on vacant plot
CMP-076,pothole,Rajajinagar,13.00195739275519,77.55819672314246,2024-01-22 11:34:00,2024-01-27 22:15:00,Resolved,Pothole expanding due to heavy vehicle movement
CMP-077,water_leakage,Malleshwaram,12.992899629176323,77.56778380545742,2024-02-24 13:23:00,2024-02-26 11:32:00,Resolved,Sump overflowing onto the street
CMP-078,drainage,Electronic City,12.85,77.6493847287296,2024-11-11 17:49:00,2024-11-15 16:26:00,Resolved,Rainwater drain clogged with plastic
CMP-079,garbage,Jayanagar,12.957886617667171,77.58930749381368,2024-05-22 14:15:00,2024-05-23 12:39:00,Resolved,Trash dumped illegally on vacant plot
CMP-080,water_leakage,Koramangala,12.91003044754196,77.6369483041295,2024-04-03 15:13:00,2024-04-07 04:09:00,Resolved,Valve broken at the junction
CMP-081,streetlight,Whitefield,12.95517977494659,77.75,2024-01-06 16:12:00,2024-01-09 07:47:00,Resolved,Trees blocking the streetlight illumination
CMP-082,water_leakage,Rajajinagar,13.015578933685111,77.54068976522473,2024-08-17 00:05:00,2024-08-17 16:24:00,Resolved,Sump overflowing onto the street
CMP-083,streetlight,Malleshwaram,13.017550641938664,77.57049171390405,2024-10-10 16:22:00,2024-10-12 11:44:00,Resolved,LED bulb fused needs replacement
CMP-084,streetlight,Electronic City,12.857530902399917,77.6885518947398,2024-05-08 07:07:00,2024-05-17 01:55:00,Resolved,Streetlights remain ON during daytime
CMP-085,garbage,Jayanagar,12.926219178259958,77.57089395753464,2024-09-04 08:46:00,2024-09-05 05:04:00,Resolved,Foul smell from uncollected waste
CMP-086,garbage,Koramangala,12.914557283555617,77.61486284572551,2024-04-26 11:11:00,2024-04-26 16:28:00,Resolved,Dry and wet waste mixed by collectors
CMP-087,drainage,Indiranagar,12.968643474358787,77.75,2024-12-23 04:40:00,,Open,Rainwater drain clogged with plastic
CMP-088,pothole,Rajajinagar,13.00235036198995,77.56540774873554,2024-05-25 15:30:00,2024-06-02 18:46:00,Resolved,Pothole expanding due to heavy vehicle movement
CMP-089,water_leakage,Malleshwaram,13.003295028378169,77.58610301115736,2024-02-03 12:31:00,2024-02-03 16:40:00,Resolved,Slow leakage from underground pipe
CMP-090,pothole,BTM Layout,12.85,77.70090253749885,2024-03-01 17:48:00,2024-03-08 09:02:00,Resolved,Multiple potholes developing after rain
CMP-091,water_leakage,Jayanagar,12.939285010216475,77.56934263665376,2024-08-14 09:55:00,2024-08-15 23:34:00,Resolved,Sump overflowing onto the street
CMP-092,garbage,Indiranagar,12.911836612529083,77.63433708622864,2024-05-15 21:05:00,2024-05-17 02:15:00,Resolved,Foul smell from uncollected waste
CMP-093,drainage,Yelahanka,12.966448058220111,77.75,2024-05-29 01:14:00,2024-06-06 22:18:00,Resolved,Drain cleaning debris left on roadside
CMP-094,streetlight,Rajajinagar,13.005298564368603,77.55190756631015,2024-12-04 06:27:00,2024-12-08 22:25:00,Resolved,Timer for streetlights not functioning
CMP-095,garbage,Malleshwaram,12.990398094228974,77.54157729162972,2024-01-31 05:50:00,2024-02-01 01:48:00,Resolved,Trash dumped illegally on vacant plot
CMP-096,pothole,Electronic City,12.85,77.67294598191485,2024-12-18 09:44:00,2025-01-05 23:15:00,Resolved,Pothole needs urgent filling before monsoon
CMP-097,drainage,Jayanagar,12.933111406161952,77.56351391831932,2024-08-09 23:20:00,2024-08-16 11:03:00,Resolved,Sewage overflowing onto the main road
CMP-098,drainage,Koramangala,12.930497713887767,77.63287976069593,2024-01-11 21:52:00,2024-01-17 19:22:00,Resolved,Drainage pipes choked and backing up
CMP-099,water_leakage,Whitefield,12.956542138456982,77.75,2024-04-02 18:27:00,2024-04-03 00:57:00,Resolved,Low pressure in water supply
CMP-100,streetlight,Rajajinagar,12.99907313077669,77.53585544553253,2024-12-09 03:54:00,2024-12-11 20:12:00,Resolved,Dim lighting not enough for safety
CMP-101,water_leakage,Malleshwaram,13.008466810405224,77.57271176789553,2024-01-19 14:05:00,2024-01-23 19:00:00,Resolved,Yellowish water coming from taps
CMP-102,pothole,Electronic City,12.861445768647629,77.67590703078052,2024-08-24 13:03:00,2024-08-29 21:43:00,Resolved,Asphalt washed away leaving a deep hole
CMP-103,pothole,Jayanagar,12.909234959480644,77.56813262440127,2024-05-16 17:08:00,,Open,Multiple potholes developing after rain
